c_ClaveProdServ,Descripción,Fecha Inicio Vigencia,Fecha Fin Vigencia,Incluir IVA trasladado,Incluir IEPS trasladado
10161521,Tecomaria capensis o madreselva del cabo,10/1/2016,,Opcional,No
10161522,Arbusto croton bolaina,10/1/2016,,Opcional,No
10161523,Abutillón,10/1/2016,,Opcional,No
10161524,Ficus,10/1/2016,,Opcional,No
10161525,Lúcumo,10/1/2016,,Opcional,No
10161526,Aguacatal,10/1/2016,,Opcional,No
10161527,Guanábano,10/1/2016,,Opcional,No
10161528,Carambolo,10/1/2016,,Opcional,No
10161529,Ciruelo,10/1/2016,,Opcional,No
10161530,Árbol de quince,10/1/2016,,Opcional,No
10161600,Plantas florales,10/1/2016,,Opcional,No
10161602,Poinsettias,10/1/2016,,Opcional,No
10161604,Azaleas,10/1/2016,,Opcional,No
10161605,Cactos,10/1/2016,,Opcional,No
10161606,Ageratum púrpura,10/1/2016,,Opcional,No
10161800,Plantas sin flor,10/1/2016,,Opcional,No
10161801,Helechos,10/1/2016,,Opcional,No
10161802,Hiedras,10/1/2016,,Opcional,No
10161803,Filodendros,10/1/2016,,Opcional,No
10161804,Líquenes,10/1/2016,,Opcional,No
10161805,Vides,10/1/2016,,Opcional,No
10161900,Productos florales secos,10/1/2016,,Opcional,No
10161901,Vainas secas,10/1/2016,,Opcional,No
10161902,Follaje seco,10/1/2016,,Opcional,No
10161903,Helechos secos,10/1/2016,,Opcional,No
10161905,Ramas y tallos secos,10/1/2016,,Opcional,No
10161906,Penachos de gramíneas secos,10/1/2016,,Opcional,No
10161907,Flores secas prensadas,10/1/2016,,Opcional,No
10161908,Pétalos secos,10/1/2016,,Opcional,No
10171500,Abonos orgánicos y nutrientes para plantas,10/1/2016,,Opcional,No
10171501,Estiércol o guano,10/1/2016,,Opcional,No
10171502,Hormonas para plantas,10/1/2016,,Opcional,No
10171503,Harina de pescado,10/1/2016,,Opcional,No
10171504,Abono,10/1/2016,,Opcional,No
10171505,Nutriente foliar,10/1/2016,,Opcional,No
10171506,Humus,10/1/2016,,Opcional,No
10171600,Abonos químicos y nutrientes para plantas,10/1/2016,,Opcional,No
10171601,Fertilizante nitrogenado,10/1/2016,,Opcional,No
10171602,Fertilizante de potasio,10/1/2016,,Opcional,No
10171603,Fertilizante de fósforo,10/1/2016,,Opcional,No
10171604,Fertilizante de sulfuro,10/1/2016,,Opcional,No
10171605,Mezclas de nitrógeno – fósforo – potasio – npk,10/1/2016,,Opcional,No
10171606,Fertilizarte de sílice puro,10/1/2016,,Opcional,No
10171607,Fertilizante con magnesio,10/1/2016,,Opcional,No
10171608,Fertilizante micro elemento,10/1/2016,,Opcional,No
10171609,Fertilizante fosfato de sílice,10/1/2016,,Opcional,No
10171610,Fertilizante potasio de sílice,10/1/2016,,Opcional,No
10171611,Fertilizante de calcio,10/1/2016,,Opcional,No
10171700,Herbicidas,10/1/2016,,Opcional,No
10171701,Matamalezas,10/1/2016,,Opcional,No
10171702,Fungicidas,10/1/2016,,Opcional,No
10171800,Acondicionadores de suelos,10/1/2016,,Opcional,No
10171801,Acondicionador orgánico de suelos,10/1/2016,,Opcional,No
10171802,Acondicionador inorgánico de suelos,10/1/2016,,Opcional,No
10191500,Pesticidas o repelentes de plagas,10/1/2016,,Opcional,Opcional
10191506,Mata – roedores,10/1/2016,,Opcional,Opcional
10191507,Repelentes de aves,10/1/2016,,Opcional,Opcional
10191508,Protectores contra termitas,10/1/2016,,Opcional,Opcional
10191509,Insecticidas,10/1/2016,,Opcional,Opcional
10191510,Abamectina,10/1/2016,,Opcional,Opcional
10191511,Fipronil,10/1/2016,,Opcional,Opcional
10191700,Dispositivos para control de plagas,10/1/2016,,Opcional,No
10191701,Trampas para control animal,10/1/2016,,Opcional,No
10191703,Trampas para el control de insectos voladores,10/1/2016,,Opcional,No
10191704,Matamoscas,10/1/2016,,Opcional,No
10191705,Lazos,10/1/2016,,Opcional,No
10191706,Cepos,10/1/2016,,Opcional,No
10191707,Repelente ultrasónico de pestes,10/1/2016,,Opcional,No
10201500,Rosales vivos azules o lavanda o púrpura,10/1/2016,,Opcional,No
10201501,Rosal vivo allure o sterling 95,10/1/2016,,Opcional,No
10201502,Rosal vivo amnesia,10/1/2016,,Opcional,No
10201503,Rosal vivo augusta louise,10/1/2016,,Opcional,No
10201504,Rosal vivo avant garde,10/1/2016,,Opcional,No
10201505,Rosal vivo blue bird,10/1/2016,,Opcional,No
10201506,Rosal vivo curiosa,10/1/2016,,Opcional,No
10201507,Rosal vivo cool water,10/1/2016,,Opcional,No
10201508,Rosal vivo delilah,10/1/2016,,Opcional,No
10201509,Rosal vivo double party,10/1/2016,,Opcional,No
10201510,Rosal vivo faith,10/1/2016,,Opcional,No
10201511,Rosal vivo mami blue o mammy blue,10/1/2016,,Opcional,No
10201512,Rosal vivo marítimo,10/1/2016,,Opcional,No
10201513,Rosal vivo milano,10/1/2016,,Opcional,No
10201514,Rosal vivo mistery,10/1/2016,,Opcional,No
10201515,Rosal vivo ocean song o boyfriend,10/1/2016,,Opcional,No
10201516,Rosal vivo cezanne púrpura,10/1/2016,,Opcional,No
10201517,Rosal vivo purple fragrance,10/1/2016,,Opcional,No
10201518,Rosal vivo sanaa,10/1/2016,,Opcional,No
10201519,Rosal vivo silverstone,10/1/2016,,Opcional,No
10201520,Rosal vivo soulmate,10/1/2016,,Opcional,No
10201521,Rosal vivo stranger,10/1/2016,,Opcional,No
10201522,Rosal vivo tinted blue,10/1/2016,,Opcional,No
10201523,Rosal vivo two faces,10/1/2016,,Opcional,No
10201600,Rosales vivos chocolate o marrón,10/1/2016,,Opcional,No
10201601,Rosal vivo black lava,10/1/2016,,Opcional,No
10201602,Rosal vivo cimarron,10/1/2016,,Opcional,No
10201603,Rosal vivo coffee break,10/1/2016,,Opcional,No
10201604,Rosal vivo estelle,10/1/2016,,Opcional,No
10201605,Rosal vivo gypsy leonidas,10/1/2016,,Opcional,No
10201606,Rosal vivo leonidas,10/1/2016,,Opcional,No
10201607,Rosal vivo matilda,10/1/2016,,Opcional,No
10201608,Rosal vivo sunny leonidas,10/1/2016,,Opcional,No
10201609,Rosal vivo terra nostra,10/1/2016,,Opcional,No
10201610,Rosal vivo terracotta,10/1/2016,,Opcional,No
10201700,Rosales vivos crema,10/1/2016,,Opcional,No
10201701,Rosal vivo advenire,10/1/2016,,Opcional,No
10201702,Rosal vivo alex,10/1/2016,,Opcional,No
10201703,Rosal vivo antique brass,10/1/2016,,Opcional,No
10201704,Rosal vivo aubade,10/1/2016,,Opcional,No
10201705,Rosal vivo beach,10/1/2016,,Opcional,No
10201706,Rosal vivo belle pearl,10/1/2016,,Opcional,No
10201707,Rosal vivo blush de los andes,10/1/2016,,Opcional,No
10201708,Rosal vivo camel,10/1/2016,,Opcional,No
10201709,Rosal vivo caramel antike o caramel antique,10/1/2016,,Opcional,No
10201710,Rosal vivo champagne,10/1/2016,,Opcional,No
10201711,Rosal vivo clear ocean,10/1/2016,,Opcional,No
10201712,Rosal vivo combo,10/1/2016,,Opcional,No
10201713,Rosal vivo creme de la creme,10/1/2016,,Opcional,No
10201714,Rosal vivo emanuella,10/1/2016,,Opcional,No
10201715,Rosal vivo evolution,10/1/2016,,Opcional,No
10201716,Rosal vivo fedora,10/1/2016,,Opcional,No
10201717,Rosal vivo fenice,10/1/2016,,Opcional,No
10201718,Rosal vivo french vanilla,10/1/2016,,Opcional,No
10201719,Rosal vivo hollywood,10/1/2016,,Opcional,No
10201720,Rosal vivo ilios,10/1/2016,,Opcional,No
10201721,Rosal vivo jelena,10/1/2016,,Opcional,No
10201722,Rosal vivo kameleon,10/1/2016,,Opcional,No
10201723,Rosal vivo kentucky,10/1/2016,,Opcional,No
10201724,Rosal vivo kings pride,10/1/2016,,Opcional,No
10201725,Rosal vivo latin fusion,10/1/2016,,Opcional,No
10201726,Rosal vivo lemon dream,10/1/2016,,Opcional,No
10201727,Rosal vivo magic moka,10/1/2016,,Opcional,No
10201728,Rosal vivo mamamia,10/1/2016,,Opcional,No
10201729,Rosal vivo message,10/1/2016,,Opcional,No
10201730,Rosal vivo muneca o munieca,10/1/2016,,Opcional,No
10201731,Rosal vivo parfum de rosas,10/1/2016,,Opcional,No
10201732,Rosal vivo porcelina,10/1/2016,,Opcional,No
10201733,Rosal vivo privilege,10/1/2016,,Opcional,No
10201734,Rosal vivo quicksand,10/1/2016,,Opcional,No
10201735,Rosal vivo rollercoaster,10/1/2016,,Opcional,No
10201736,Rosal vivo romantic curiosa,10/1/2016,,Opcional,No
10201737,Rosal vivo safari,10/1/2016,,Opcional,No
10201738,Rosal vivo sahara,10/1/2016,,Opcional,No
10201739,Rosal vivo sandy femma,10/1/2016,,Opcional,No
10201740,Rosal vivo talea,10/1/2016,,Opcional,No
10201741,Rosal vivo timeless,10/1/2016,,Opcional,No
10201742,Rosal vivo transition,10/1/2016,,Opcional,No
10201743,Rosal vivo trump,10/1/2016,,Opcional,No
10201744,Rosal vivo twin,10/1/2016,,Opcional,No
10201745,Rosal vivo vendela,10/1/2016,,Opcional,No
10201746,Rosal vivo virginia,10/1/2016,,Opcional,No
10201800,Rosales vivos verdes o lima,10/1/2016,,Opcional,No
10201801,Rosal vivo amandine,10/1/2016,,Opcional,No
10201802,Rosal vivo caipirinha,10/1/2016,,Opcional,No
10201803,Rosal vivo green fashion,10/1/2016,,Opcional,No
10201804,Rosal vivo green tea,10/1/2016,,Opcional,No
10201805,Rosal vivo jade,10/1/2016,,Opcional,No
10201806,Rosal vivo limbo,10/1/2016,,Opcional,No
10201807,Rosal vivo limena o limenia,10/1/2016,,Opcional,No
10201808,Rosal vivo limona,10/1/2016,,Opcional,No
10201809,Rosal vivo old dutch,10/1/2016,,Opcional,No
10201810,Rosal vivo super green,10/1/2016,,Opcional,No
10201811,Rosal vivo sweet green,10/1/2016,,Opcional,No
10201812,Rosal vivo viva,10/1/2016,,Opcional,No
10201813,Rosal vivo zazu,10/1/2016,,Opcional,No
10201900,Rosales vivos rosado claro,10/1/2016,,Opcional,No
10201901,Rosal vivo anna,10/1/2016,,Opcional,No
10201902,Rosal vivo bella vita,10/1/2016,,Opcional,No
10201903,Rosal vivo bridal dream,10/1/2016,,Opcional,No
10201904,Rosal vivo candy bianca,10/1/2016,,Opcional,No
10201905,Rosal vivo caress,10/1/2016,,Opcional,No
10201906,Rosal vivo carolina,10/1/2016,,Opcional,No
10201907,Rosal vivo climax,10/1/2016,,Opcional,No
10201908,Rosal vivo danny,10/1/2016,,Opcional,No
10201909,Rosal vivo dolce vita,10/1/2016,,Opcional,No
10201910,Rosal vivo elite,10/1/2016,,Opcional,No
10201911,Rosal vivo emma,10/1/2016,,Opcional,No
10201912,Rosal vivo engagement,10/1/2016,,Opcional,No
10201913,Rosal vivo esther,10/1/2016,,Opcional,No
10201914,Rosal vivo excalibur,10/1/2016,,Opcional,No
10201915,Rosal vivo exciting,10/1/2016,,Opcional,No
10201916,Rosal vivo first lady,10/1/2016,,Opcional,No
10201917,Rosal vivo geraldine,10/1/2016,,Opcional,No
10201918,Rosal vivo gotcha,10/1/2016,,Opcional,No
10201919,Rosal vivo harmonie,10/1/2016,,Opcional,No
10201920,Rosal vivo heaven,10/1/2016,,Opcional,No
10201921,Rosal vivo high and elegant,10/1/2016,,Opcional,No
10201922,Rosal vivo katherine,10/1/2016,,Opcional,No
10201923,Rosal vivo king kong,10/1/2016,,Opcional,No
10201924,Rosal vivo livia,10/1/2016,,Opcional,No
10201925,Rosal vivo lorena,10/1/2016,,Opcional,No
10201926,Rosal vivo lovely,10/1/2016,,Opcional,No
10201927,Rosal vivo maaike,10/1/2016,,Opcional,No
10201928,Rosal vivo marilyn,10/1/2016,,Opcional,No
10201929,Rosal vivo marlise,10/1/2016,,Opcional,No
10201930,Rosal vivo miranda o ausimmon,10/1/2016,,Opcional,No
10201931,Rosal vivo mona lisa,10/1/2016,,Opcional,No
10201932,Rosal vivo nirvana,10/1/2016,,Opcional,No
10201933,Rosal vivo o hara,10/1/2016,,Opcional,No
10201934,Rosal vivo ole,10/1/2016,,Opcional,No
10201935,Rosal vivo olga,10/1/2016,,Opcional,No
10201936,Rosal vivo pacífica,10/1/2016,,Opcional,No
10201937,Rosal vivo party mix,10/1/2016,,Opcional,No
10201938,Rosal vivo peckoubo o pekcoubo,10/1/2016,,Opcional,No
10201939,Rosal vivo phoebe o ausnotice,10/1/2016,,Opcional,No
10201940,Rosal vivo pink farfalla,10/1/2016,,Opcional,No
10201941,Rosal vivo pink finess,10/1/2016,,Opcional,No
10201942,Rosal vivo pink magic,10/1/2016,,Opcional,No
10201943,Rosal vivo pink osiana,10/1/2016,,Opcional,No
10201944,Rosal vivo pretty woman,10/1/2016,,Opcional,No
